web-scraper-order,web-scraper-start-url,url,url-href,title,time,date,venue,image-src,price,tags
"1554998299-598","https://www.eventbrite.com/d/dc--washington/all-events/?page=19","Natalie PrassNatalie Prass","https://www.eventbrite.com/e/natalie-prass-tickets-55418702832?aff=ebdssbdestsearch","Natalie Prass","Sat, Apr 20, 2019, 12:00 AM EDT","Fri, Apr 19, 2019, 8:00 PM –","Fri, Apr 19, 2019, 8:00 PM –
											Sat, Apr 20, 2019, 12:00 AM EDT
											
												Add to Calendar","","$15 – $18","[{""tags"":""Things to do in Washington, Dc, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554999879-915","https://www.eventbrite.com/d/dc--washington/all-events/?page=3","Nice & Slow: 90's R&B Wine Experience Nice & Slow: 90's R&B Wine Experience","https://www.eventbrite.com/e/nice-slow-90s-rb-wine-experience-tickets-55744647742?aff=ebdssbdestsearch","Nice & Slow: 90's R&B Wine Experience","null","null","No Refunds","","$50","[{""tags"":""Things to do in Capitol Heights, MD""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"
"1554999303-793","https://www.eventbrite.com/d/dc--washington/all-events/?page=10","Petite Afrique by SomiPetite Afrique by Somi","https://www.eventbrite.com/e/petite-afrique-by-somi-tickets-59073326911?aff=ebdssbdestsearch","Petite Afrique by Somi","8:00 PM – 10:00 PM EDT","Thu, April 11, 2019","Gaston Hall - Georgetown University
									Washington, DC 20057 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554999450-824","https://www.eventbrite.com/d/dc--washington/all-events/?page=8","DISCUSSION: France and the American Revolution : At War and at PeaceDISCUSSION: France and the American Revolution : At War and at Peace","https://www.eventbrite.com/e/discussion-france-and-the-american-revolution-at-war-and-at-peace-tickets-58442675616?aff=ebdssbdestsearch","DISCUSSION: France and the American Revolution : At War and at Peace","7:00 PM – 9:00 PM EDT","Thu, April 11, 2019","La Maison Française @ the Embassy of France
									4101 Reservoir Rd NW 
									Washington, DC 20007 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Screening""},{""tags"":""Film & Media""}]"
"1554998853-699","https://www.eventbrite.com/d/dc--washington/all-events/?page=14","2019 Fashion for Fighters Gala2019 Fashion for Fighters Gala","https://www.eventbrite.com/e/2019-fashion-for-fighters-gala-tickets-55712064284?aff=ebdssbdestsearch","2019 Fashion for Fighters Gala","7:00 PM – 11:00 PM EDT","Fri, April 19, 2019","St Francis Hall
									1340 Quincy Street Northeast 
									Washington, DC 20017 
									United States 
								
									View Map
									View Map","","$125 – $3,000","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Gala""},{""tags"":""Charity & Causes""}]"
"1554998245-586","https://www.eventbrite.com/d/dc--washington/all-events/?page=20","Black Tie European Gala at the Embassy of France... with a Touch of Monte CarloBlack Tie European Gala at the Embassy of France... with a Touch of Monte C...","https://www.eventbrite.com/e/black-tie-european-gala-at-the-embassy-of-france-with-a-touch-of-monte-carlo-tickets-57876823136?aff=ebdssbdestsearch","Black Tie European Gala at the Embassy of France... with a Touch of Monte C...","8:30 PM – 11:45 PM EDT","Sat, April 27, 2019","Embassy of France
									4101 Reservoir Road Northwest 
									Washington, DC 20007 
									United States 
								
									View Map
									View Map","","$89 – $109","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Community""}]"
"1554997362-418","https://www.eventbrite.com/d/dc--washington/all-events/?page=28","2019 Lineage Research Afternoon Networking Social2019 Lineage Research Afternoon Networking Social","https://www.eventbrite.com/e/2019-lineage-research-afternoon-networking-social-tickets-52234769602?aff=ebdssbdestsearch","2019 Lineage Research Afternoon Networking Social","3:00 PM – 5:00 PM EDT","Fri, June 28, 2019","Grand Hyatt Washington
									1000 H Street Northwest 
									Washington, DC 20001 
									United States 
								
									View Map
									View Map","","$33","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Networking""}]"
"1554983912-174","https://www.eventbrite.com/d/dc--washington/all-events/?page=41","DC Changemaker Chat with Molly FannonDC Changemaker Chat with Molly Fannon","https://www.eventbrite.com/e/dc-changemaker-chat-with-molly-fannon-tickets-59933249964?aff=ebdssbdestsearch","DC Changemaker Chat with Molly Fannon","6:00 PM – 8:00 PM EDT","Thu, May 2, 2019","Smithsonian Institution
									Ripley Auditorium in the S. Dillon Ripley Center 
									1100 Jefferson Dr. SW 
									Washington, DC 20560 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Networking""},{""tags"":""Community""}]"
"1554997259-399","https://www.eventbrite.com/d/dc--washington/all-events/?page=29","Spanish Cinema Now+: Todos están muertosSpanish Cinema Now+: Todos están muertos","https://www.eventbrite.com/e/spanish-cinema-now-todos-estan-muertos-tickets-54608097289?aff=ebdssbdestsearch","Spanish Cinema Now+: Todos están muertos","6:45 PM – 9:00 PM EDT","Thu, April 25, 2019","Former Residence of the Ambassadors of Spain
									2801 16th Street Northwest 
									Washington, DC 20009 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Festival""},{""tags"":""Film & Media""}]"
"1554998913-713","https://www.eventbrite.com/d/dc--washington/all-events/?page=14","2019 ACS Data Users Conference (#ACSConf19)2019 ACS Data Users Conference (#ACSConf19)","https://www.eventbrite.com/e/2019-acs-data-users-conference-acsconf19-registration-55766773922?aff=ebdssbdestsearch","2019 ACS Data Users Conference (#ACSConf19)","Wed, May 15, 2019, 4:00 PM EDT","Tue, May 14, 2019, 8:00 AM –","American University Washington College of Law
									Yuma Building 
									4100 Yuma Street Northwest 
									Washington, DC 20016 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Conference""},{""tags"":""Other""}]"
"1554980509-17","https://www.eventbrite.com/d/dc--washington/all-events/?page=49","The Late Shift: Art on the HorizonThe Late Shift: Art on the Horizon","https://www.eventbrite.com/e/the-late-shift-art-on-the-horizon-tickets-58862276654?aff=ebdssbdestsearch","The Late Shift: Art on the Horizon","7:00 PM – 10:00 PM EDT","Fri, April 12, 2019","Torpedo Factory Art Center
									105 North Union Street 
									Alexandria, VA 22314 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Alexandria, VA""},{""tags"":""Festival""},{""tags"":""Arts""}]"
"1554981078-80","https://www.eventbrite.com/d/dc--washington/all-events/?page=46","Lincoln Ideas Forum: Voting RightsLincoln Ideas Forum: Voting Rights","https://www.eventbrite.com/e/lincoln-ideas-forum-voting-rights-tickets-57210423918?aff=ebdssbdestsearch","Lincoln Ideas Forum: Voting Rights","1:00 PM – 3:00 PM EDT","Fri, April 12, 2019","President Lincoln's Cottage
									140 Rock Creek Church Road Northwest 
									Washington, DC 20011 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Seminar""},{""tags"":""Community""}]"
"1554985522-212","https://www.eventbrite.com/d/dc--washington/all-events/?page=39","Investing in a sustainable urban future: A guide to national and sub-national reformInvesting in a sustainable urban future: A guide to national and sub-nation...","https://www.eventbrite.com/e/investing-in-a-sustainable-urban-future-a-guide-to-national-and-sub-national-reform-tickets-59381587928?aff=ebdssbdestsearch","Investing in a sustainable urban future: A guide to national and sub-nation...","12:00 PM – 2:00 PM EDT","Fri, April 12, 2019","James A. Harmon Conference Center, World Resources Institute
									10 G Street Northeast 
									#800 
									Washington, DC 20002 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Seminar""},{""tags"":""Business""}]"
"1554997841-505","https://www.eventbrite.com/d/dc--washington/all-events/?page=24","Hiphop-Trap-GoGo Paint & Sip-Alexandria, VAHiphop-Trap-GoGo Paint & Sip-Alexandria, VA","https://www.eventbrite.com/e/hiphop-trap-gogo-paint-sip-alexandria-va-tickets-58505214672?aff=ebdssbdestsearch","Hiphop-Trap-GoGo Paint & Sip-Alexandria, VA","5:00 PM – 8:00 PM EDT","Sat, April 13, 2019","Hashtag Restaurant & Lounge
									654 South Pickett Street 
									Alexandria, Va 22304 
								
									View Map
									View Map","","$35 – $50","[{""tags"":""Things to do in Alexandria, VA""},{""tags"":""Party""},{""tags"":""Arts""}]"
"1554998162-569","https://www.eventbrite.com/d/dc--washington/all-events/?page=21","Songbyrd Presents: Roo PanesSongbyrd Presents: Roo Panes","https://www.eventbrite.com/e/songbyrd-presents-roo-panes-tickets-57214532206?aff=ebdssbdestsearch","Songbyrd Presents: Roo Panes","7:00 PM – 10:30 PM EDT","Fri, May 17, 2019","Fri, May 17, 2019
											7:00 PM – 10:30 PM EDT
											
												Add to Calendar","","$17","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554988208-276","https://www.eventbrite.com/d/dc--washington/all-events/?page=36","18th Annual C4ISRNET Conference18th Annual C4ISRNET Conference","https://www.eventbrite.com/e/18th-annual-c4isrnet-conference-registration-53925325099?aff=ebdssbdestsearch","18th Annual C4ISRNET Conference","7:30 AM – 5:00 PM EDT","Thu, June 6, 2019","Renaissance Arlington Capital View
									2800 S Potomac Ave 
									Arlington, VA 22202 
									United States 
								
									View Map
									View Map","","$0 – $399","[{""tags"":""Things to do in Arlington, VA""},{""tags"":""Conference""},{""tags"":""Government""}]"
"1554998949-720","https://www.eventbrite.com/d/dc--washington/all-events/?page=13","Songbyrd Presents: KieferSongbyrd Presents: Kiefer","https://www.eventbrite.com/e/songbyrd-presents-kiefer-tickets-55432621463?aff=ebdssbdestsearch","Songbyrd Presents: Kiefer","7:00 PM – 11:30 PM EDT","Sat, April 13, 2019","Sat, April 13, 2019
											7:00 PM – 11:30 PM EDT
											
												Add to Calendar","","$15","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554980865-50","https://www.eventbrite.com/d/dc--washington/all-events/?page=47","Pitch Event for Inclusive Innovation LabsPitch Event for Inclusive Innovation Labs","https://www.eventbrite.com/e/pitch-event-for-inclusive-innovation-labs-tickets-59003965449?aff=ebdssbdestsearch","Pitch Event for Inclusive Innovation Labs","6:00 PM – 9:00 PM EDT","Thu, April 11, 2019","Inclusive Innovation Incubator
									2301 Georgia Avenue Northwest 
									Washington, DC 20001 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Class""},{""tags"":""Business""},{""tags"":""s the District of Columbia’s first space intentionally focused on inclusion, innovation and incubation. The incubator is committed to creating a collaborative environment where under-resourced members have access to the space and services needed to build or grow a successful business.""},{""tags"":""s the District of Columbia’s first space intentionally focused on inclusion, innovation and incubation. The incubator is committed to creating a collaborative environment where under-resourced members have access to the space and services needed to build or grow a successful business.""}]"
"1554999484-831","https://www.eventbrite.com/d/dc--washington/all-events/?page=8","Wine Garden Unplugged  Aries Edition  OFFICIAL DMV MEET AND GREETWine Garden Unplugged  Aries Edition  OFFICIAL DMV MEET AND GREET","https://www.eventbrite.com/e/wine-garden-unplugged-aries-edition-official-dmv-meet-and-greet-tickets-58791600259?aff=ebdssbdestsearch","Wine Garden Unplugged  Aries Edition  OFFICIAL DMV MEET AND GREET","Sat, Apr 20, 2019, 2:00 AM EDT","Fri, Apr 19, 2019, 10:00 PM –","City Winery DC
									1350 Okie Street Northeast 
									Washington, DC 20002 
									United States 
								
									View Map
									View Map","","$0 – $200","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"
"1554985800-219","https://www.eventbrite.com/d/dc--washington/all-events/?page=39","Project Create Family Art Day 2019Project Create Family Art Day 2019","https://www.eventbrite.com/e/project-create-family-art-day-2019-tickets-50425688592?aff=ebdssbdestsearch","Project Create Family Art Day 2019","1:00 PM – 4:00 PM EDT","Sat, April 13, 2019","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Class""},{""tags"":""Family & Education""}]"
"1554983412-162","https://www.eventbrite.com/d/dc--washington/all-events/?page=41","Good Life SundaysGood Life Sundays","https://www.eventbrite.com/e/good-life-sundays-tickets-54300342787?aff=ebdssbdestsearch","Good Life Sundays","4:00 PM – 11:30 PM EDT","Sun, April 14, 2019","Select a different date","","Free","[{""tags"":""Things to do in Silver Spring, MD""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554998783-685","https://www.eventbrite.com/d/dc--washington/all-events/?page=15","Transatlantic Alumni Conference: Rethinking Transatlantic Relations Transatlantic Alumni Conference: Rethinking Transatlantic Relations","https://www.eventbrite.com/e/transatlantic-alumni-conference-rethinking-transatlantic-relations-tickets-57296977803?aff=ebdssbdestsearch","Transatlantic Alumni Conference: Rethinking Transatlantic Relations","Sat, May 4, 2019, 1:00 PM EDT","Wed, May 1, 2019, 5:00 PM –","Washington Plaza Hotel
									10 Thomas Circle Northwest 
									Washington, DC 20005 
									United States 
								
									View Map
									View Map","","$0 – $50","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Conference""},{""tags"":""Government""}]"
"1554998538-644","https://www.eventbrite.com/d/dc--washington/all-events/?page=17","420 party420 party","https://www.eventbrite.com/e/420-party-tickets-58368610084?aff=ebdssbdestsearch","420 party","3:30 PM – 8:00 PM EDT","Sat, April 20, 2019","Washington
									420 rd 
									Washington, DC 20012 
									United States 
								
									View Map
									View Map","","$0 – $100","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Convention""},{""tags"":""Film & Media""}]"
"1554998080-552","https://www.eventbrite.com/d/dc--washington/all-events/?page=22","2019 NOAA Emerging Technologies Workshop2019 NOAA Emerging Technologies Workshop","https://www.eventbrite.com/e/2019-noaa-emerging-technologies-workshop-registration-52174400035?aff=ebdssbdestsearch","2019 NOAA Emerging Technologies Workshop","Wed, Jun 26, 2019, 4:30 PM EDT","Tue, Jun 25, 2019, 8:30 AM –","NCWCP: The NOAA Center for Weather and Climate Prediction
									5830 University Research Court 
									Auditorium and Conference Center 
									College Park, MD 20740 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in College Park, MD""},{""tags"":""Conference""},{""tags"":""Science & Tech""}]"
"1554999049-740","https://www.eventbrite.com/d/dc--washington/all-events/?page=12","President Abraham Lincoln’s Life & Legacy - FREE Guided Walking TourPresident Abraham Lincoln’s Life & Legacy - FREE Guided Walking Tour","https://www.eventbrite.com/e/president-abraham-lincolns-life-legacy-free-guided-walking-tour-tickets-58690221031?aff=ebdssbdestsearch","President Abraham Lincoln’s Life & Legacy - FREE Guided Walking Tour","6:00 PM – 8:00 PM EDT","Mon, April 15, 2019","Ford's Theatre
									511 10th Street Northwest 
									Washington, DC 20004 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Tour""},{""tags"":""Community""}]"
"1554980456-9","https://www.eventbrite.com/d/dc--washington/all-events/?page=49","Montgomery Serves Awards 2019Montgomery Serves Awards 2019","https://www.eventbrite.com/e/montgomery-serves-awards-2019-tickets-57335806942?aff=ebdssbdestsearch","Montgomery Serves Awards 2019","6:30 PM – 9:00 PM EDT","Mon, April 29, 2019","Imagination Stage
									4908 Auburn Ave. 
									Bethesda, MD 20814 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Bethesda, MD""},{""tags"":""Other""},{""tags"":""Community""}]"
"1554997964-528","https://www.eventbrite.com/d/dc--washington/all-events/?page=23","The Twelfth Annual Kristensen KlassicThe Twelfth Annual Kristensen Klassic","https://www.eventbrite.com/e/the-twelfth-annual-kristensen-klassic-tickets-54543305495?aff=ebdssbdestsearch","The Twelfth Annual Kristensen Klassic","","Fri, May 3, 2019, 2:00 PM EDT","Joint Base Andrews
									Joint Base Andrews, MD 20735 
									United States 
								
									View Map
									View Map","","$150 – $10,000","[{""tags"":""Things to do in Joint Base Andrews, MD""},{""tags"":""Tournament""},{""tags"":""School Activities""}]"
"1554998908-712","https://www.eventbrite.com/d/dc--washington/all-events/?page=14","THE 90'S HIP HOP | R&B BOAT PARTY 5.12.19 - Mother's Day EditionTHE 90'S HIP HOP | R&B BOAT PARTY 5.12.19 - Mother's Day Edition","https://www.eventbrite.com/e/the-90s-hip-hop-rb-boat-party-51219-mothers-day-edition-tickets-58869959634?aff=ebdssbdestsearch","THE 90'S HIP HOP | R&B BOAT PARTY 5.12.19 - Mother's Day Edition","6:30 PM – 9:00 PM EDT","Sun, May 12, 2019","Boomerang Tours, Inc.
									3100 K Street Northwest 
									Washington, DC 20007 
									United States 
								
									View Map
									View Map","","$35","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554998017-539","https://www.eventbrite.com/d/dc--washington/all-events/?page=22","A Space of Their Own - Exhibition OpeningA Space of Their Own - Exhibition Opening","https://www.eventbrite.com/e/a-space-of-their-own-exhibition-opening-tickets-56229431744?aff=ebdssbdestsearch","A Space of Their Own - Exhibition Opening","6:00 PM – 8:00 PM EDT","Sat, April 20, 2019","Joe's Movement Emporium
									3309 Bunker Hill Road 
									Mount Rainier, MD 20712 
									United States 
								
									View Map
									View Map","","Donation","[{""tags"":""Things to do in Mount Rainier, MD""},{""tags"":""Networking""},{""tags"":""Community""}]"
"1554998262-590","https://www.eventbrite.com/d/dc--washington/all-events/?page=20","PROJECT TURQUOISE Strides For Students 5K Run!PROJECT TURQUOISE Strides For Students 5K Run!","https://www.eventbrite.com/e/project-turquoise-strides-for-students-5k-run-tickets-57896035601?aff=ebdssbdestsearch","PROJECT TURQUOISE Strides For Students 5K Run!","9:00 AM – 12:00 PM EDT","Sun, April 14, 2019","Rock Creek Park
									4850 Colorado Avenue Northwest 
									(In front of Tennis center/Picnic Grove 24) 
									Washington, DC 20011 
									United States 
								
									View Map
									View Map","","$20","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Race""},{""tags"":""Charity & Causes""}]"
"1554998500-636","https://www.eventbrite.com/d/dc--washington/all-events/?page=17","SHS Class of 2009 Turns 10!SHS Class of 2009 Turns 10!","https://www.eventbrite.com/e/shs-class-of-2009-turns-10-tickets-55006526000?aff=ebdssbdestsearch","SHS Class of 2009 Turns 10!","Sun, Jun 2, 2019, 12:00 PM EDT","Fri, May 31, 2019, 5:00 PM –","Washington
									Washington, DC 20019 
									United States 
								
									View Map
									View Map","","$0 – $70","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"
"1554981316-100","https://www.eventbrite.com/d/dc--washington/all-events/?page=45","#SAINTTHURSDAYS  “ANGELS”#SAINTTHURSDAYS  “ANGELS”","https://www.eventbrite.com/e/saintthursdays-angels-tickets-58794435740?aff=ebdssbdestsearch","#SAINTTHURSDAYS  “ANGELS”","Fri, Apr 12, 2019, 2:00 AM EDT","Thu, Apr 11, 2019, 11:00 PM –","Select a different date","","$0 – $20","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Film & Media""}]"
"1554986275-230","https://www.eventbrite.com/d/dc--washington/all-events/?page=38","Salon Performance of Somi's Dreaming ZenzileSalon Performance of Somi's Dreaming Zenzile","https://www.eventbrite.com/e/salon-performance-of-somis-dreaming-zenzile-tickets-59295029028?aff=ebdssbdestsearch","Salon Performance of Somi's Dreaming Zenzile","4:00 PM – 5:30 PM EDT","Fri, April 12, 2019","MARIA & ALBERTO DE LA CRUZ ART GALLERY
									3535 Prospect Street Northwest 
									Washington, DC 20007 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554997754-489","https://www.eventbrite.com/d/dc--washington/all-events/?page=25","The Art Hype Presents: Moon MelaninThe Art Hype Presents: Moon Melanin","https://www.eventbrite.com/e/the-art-hype-presents-moon-melanin-tickets-58877634590?aff=ebdssbdestsearch","The Art Hype Presents: Moon Melanin","7:00 PM – 11:00 PM EDT","Fri, April 19, 2019","52 O St. Studios
									52 O St. NW Suite 301 
									Washington, District of Columbia 20001 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington""},{""tags"":""Attraction""},{""tags"":""Hobbies""}]"
"1554998918-714","https://www.eventbrite.com/d/dc--washington/all-events/?page=14","10th Annual Pink Hat Tea Scholarship Fundraiser10th Annual Pink Hat Tea Scholarship Fundraiser","https://www.eventbrite.com/e/10th-annual-pink-hat-tea-scholarship-fundraiser-tickets-57093874315?aff=ebdssbdestsearch","10th Annual Pink Hat Tea Scholarship Fundraiser","2:00 PM – 5:00 PM EDT","Sun, May 5, 2019","Renaissance Washington DC
									999 9th Street Northwest 
									Washington, DC 20001 
									United States 
								
									View Map
									View Map","","$104","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Gala""},{""tags"":""Charity & Causes""}]"
"1554989102-297","https://www.eventbrite.com/d/dc--washington/all-events/?page=35","DCMAC ""VIP"" Tent - Lake Arbor Jazz Fest ""Celebrating 10 Years""DCMAC ""VIP"" Tent - Lake Arbor Jazz Fest ""Celebrating 10 Years""","https://www.eventbrite.com/e/dcmac-vip-tent-lake-arbor-jazz-fest-celebrating-10-years-tickets-54950923692?aff=ebdssbdestsearch","null","null","null","null","","null","[{""tags"":""Lake Arbor Community Center, 10100 Lake Arbor Way, Mitchellville, MD 20721""},{""tags"":""Lake Arbor Jazz Fest""},{""tags"":""LU FUNDRAISER""},{""tags"":""reserve your '""},{""tags"":""VIP""},{""tags"":""VIP""},{""tags"":""' Tented Seat""},{""tags"":""spread""},{""tags"":""""}]"
"1554998354-609","https://www.eventbrite.com/d/dc--washington/all-events/?page=19","Spring Easter Egg HuntSpring Easter Egg Hunt","https://www.eventbrite.com/e/spring-easter-egg-hunt-tickets-59584729530?aff=ebdssbdestsearch","Spring Easter Egg Hunt","1:00 PM – 4:00 PM EDT","Sat, April 27, 2019","Marvin Gaye Greening Center
									5000 Nannie Helen Burroughs Avenue Northeast 
									Washington, DC 20019 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Festival""},{""tags"":""Community""}]"
"1554997207-393","https://www.eventbrite.com/d/dc--washington/all-events/?page=30","Hope Blossoms 2019Hope Blossoms 2019","https://www.eventbrite.com/e/hope-blossoms-2019-tickets-54718228695?aff=ebdssbdestsearch","Hope Blossoms 2019","6:00 PM – 8:00 PM EDT","Wed, May 1, 2019","Columbia Country Club
									7900 Connecticut Avenue 
									Chevy Chase, MD 20815 
									United States 
								
									View Map
									View Map","","$50 – $25,000","[{""tags"":""Things to do in Chevy Chase, MD""},{""tags"":""Party""},{""tags"":""Charity & Causes""}]"
"1554997307-408","https://www.eventbrite.com/d/dc--washington/all-events/?page=29","Pretty Boi Drag Presents #OpenKingNightPretty Boi Drag Presents #OpenKingNight","https://www.eventbrite.com/e/pretty-boi-drag-presents-openkingnight-tickets-56678984368?aff=ebdssbdestsearch","Pretty Boi Drag Presents #OpenKingNight","8:00 PM – 11:00 PM EDT","Thu, April 11, 2019","Bier Baron Tavern
									1523 22nd Street NW 
									Washington, DC 20037 
									United States 
								
									View Map
									View Map","","$10","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Community""}]"
"1554997145-381","https://www.eventbrite.com/d/dc--washington/all-events/?page=30","AKAK","https://www.eventbrite.com/e/ak-tickets-55366456562?aff=ebdssbdestsearch","AK","7:00 PM – 10:30 PM EDT","Fri, April 26, 2019","Fri, April 26, 2019
											7:00 PM – 10:30 PM EDT
											
												Add to Calendar","","$14 – $16","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554998108-557","https://www.eventbrite.com/d/dc--washington/all-events/?page=21","Lights of Freedom Lights of Freedom","https://www.eventbrite.com/e/lights-of-freedom-tickets-56115270284?aff=ebdssbdestsearch","Lights of Freedom","7:00 PM – 9:00 PM EDT","Sat, April 13, 2019","Walter Pierce Park
									Washington, DC 20009 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Other""},{""tags"":""Community""}]"
"1554989426-304","https://www.eventbrite.com/d/dc--washington/all-events/?page=34","2019 Sakura Matsuri - Artisan Registration2019 Sakura Matsuri - Artisan Registration","https://www.eventbrite.com/e/2019-sakura-matsuri-artisan-registration-tickets-45559844722?aff=ebdssbdestsearch","2019 Sakura Matsuri - Artisan Registration","10:30 AM – 6:00 PM EDT","Sat, April 13, 2019","699 Pennsylvania Ave NW
									Pennsylvania Avenue, NW 
									between 3rd & 7th Streets 
									Washington, DC 20004 
								
									View Map
									View Map","","$75 – $800","[{""tags"":""Things to do in Washington, DC""}]"
"1554986940-246","https://www.eventbrite.com/d/dc--washington/all-events/?page=37","Abigail Fridays with ThoseGuyzAbigail Fridays with ThoseGuyz","https://www.eventbrite.com/e/abigail-fridays-with-thoseguyz-tickets-55083083987?aff=ebdssbdestsearch","Abigail Fridays with ThoseGuyz","Sat, Apr 13, 2019, 3:00 AM EDT","Fri, Apr 12, 2019, 11:00 PM –","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""}]"
"1554997822-501","https://www.eventbrite.com/d/dc--washington/all-events/?page=24","Gilbert W. Beebe Symposium on the Future of Low-Dose Radiation Research in the United StatesGilbert W. Beebe Symposium on the Future of Low-Dose Radiation Research in ...","https://www.eventbrite.com/e/gilbert-w-beebe-symposium-on-the-future-of-low-dose-radiation-research-in-the-united-states-registration-54994623399?aff=ebdssbdestsearch","Gilbert W. Beebe Symposium on the Future of Low-Dose Radiation Research in...","Thu, May 9, 2019, 5:30 PM EDT","Wed, May 8, 2019, 8:00 AM –","National Academy of Sciences
									2101 Constitution Avenue Northwest 
									Washington, DC 20418 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Seminar""},{""tags"":""Science & Tech""}]"
"1554997371-420","https://www.eventbrite.com/d/dc--washington/all-events/?page=28","Ultrabar FridaysUltrabar Fridays","https://www.eventbrite.com/e/ultrabar-fridays-tickets-53478260918?aff=ebdssbdestsearch","Ultrabar Fridays","Sat, Apr 13, 2019, 3:00 AM EDT","Fri, Apr 12, 2019, 9:00 PM –","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554982107-134","https://www.eventbrite.com/d/dc--washington/all-events/?page=43","eARTh Day Tulip Planting EventeARTh Day Tulip Planting Event","https://www.eventbrite.com/e/earth-day-tulip-planting-event-tickets-58118352557?aff=ebdssbdestsearch","eARTh Day Tulip Planting Event","9:00 AM – 2:30 PM EDT","Sat, April 20, 2019","4900 Central Ave NE
									4900 Central Avenue Northeast 
									Washington, DC 20019 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Other""},{""tags"":""Community""}]"
"1554998554-647","https://www.eventbrite.com/d/dc--washington/all-events/?page=17","Songbyrd & Union Stage Present: Lolo Zouaï: High Highs to Low Lows TourSongbyrd & Union Stage Present: Lolo Zouaï: High Highs to Low Lows Tour","https://www.eventbrite.com/e/songbyrd-union-stage-present-lolo-zouai-high-highs-to-low-lows-tour-tickets-55424504184?aff=ebdssbdestsearch","Songbyrd & Union Stage Present: Lolo Zouaï: High Highs to Low Lows Tour","7:00 PM – 11:30 PM EDT","Sat, April 27, 2019","Sat, April 27, 2019
											7:00 PM – 11:30 PM EDT
											
												Add to Calendar","","$12 – $50","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
